question_id,english_question,french_question,german_question,spanish_question,hindi_question,gujarati_question,score_per_que,unit_id
46,doctor,médecin,Arzt,doctor,चिकित्सक,ડૉક્ટર,1,4
47,engineer,ingénieur,Ingenieur,ingeniero,अभियंता,ઇજનેર,1,4
48,builder,constructeur,Erbauer,constructor,निर्माता,બિલ્ડર,1,4
49,plumber,plombier,Klempner,plomero,प्लंबर,પ્લમ્બર,1,4
50,pilot,pilote,Pilot,piloto,पायलट,પાયલોટ,1,4
51,lawyer,avocat,Rechtsanwalt,abogado,वकील,વકીલ,1,4
52,police,police,Polizei,policía,पुलिस,પોલીસ,1,4
53,student,étudiant,Student,alumno,विद्यार्थी,વિદ્યાર્થી,1,4
54,teacher,professeur,Lehrer,maestro,अध्यापक,શિક્ષક,1,4
55,professor,professeur,Professor,profesor,प्रोफ़ेसर,પ્રોફેસર,1,4
56,maria is a doctor,Maria est médecin,Maria ist Arzt,María es doctora,मारिया एक डॉक्टर हैं,મારિયા એક ડૉક્ટર છે,1,4
57,he was a thief,C'était un voleur,Er war ein Dieb,El era un ladrón,वह एक चोर था,તે ચોર હતો,1,4
58,george is a good man,George est un homme bon,George ist ein guter Mann,George es un buen hombre,जॉर्ज एक अच्छे इंसान हैं,જ્યોર્જ એક સારો માણસ છે,1,4
59,thief's are bad men,Les voleurs sont de mauvais hommes,Dieb sind schlechte Männer,Los ladrones son hombres malos,चोर बुरे आदमी हैं,ચોર ખરાબ માણસો છે,1,4
60,"yes,please",oui s'il vous plait,"Ja, bitte","sí, por favor",जी कहिये,"હા, કૃપા કરીને",1,4
61,ice cream,glace,Eiscreme,helado,आइसक्रीम,આઈસ્ક્રીમ,1,5
62,friend,ami,Freund,amigo,दोस्त,મિત્ર,1,5
63,taxi,Taxi,Taxi,Taxi,टैक्सी,ટેક્સી,1,5
64,my taxi,Mon taxi,mein Taxi,mi taxi,मेरी टैक्सी,મારી ટેક્સી,1,5
65,the passport,le passeport,der Pass,El pasaporte,पासपोर्ट,પાસપોર્ટ,1,5
66,phone,téléphone,Telefon,teléfono,फ़ोन,ફોન,1,5
67,passport,passeport,Reisepass,pasaporte,पासपोर्ट,પાસપોર્ટ,1,5
68,suitcase,valise,Koffer,maleta,सूटकेस,સૂટકેસ,1,5
69,I need water,J'ai besoin d'eau,ich brauche Wasser,necesito agua,मुझे पानी की जरूरत है,મારે પાણી જોઈએ છે,1,5
70,"I need a taxi, please","J'ai besoin d'un taxi, s'il vous plaît",Ich brauche bitte ein Taxi,"Necesito un taxi, por favor",कृपया मुझे एक टैक्सी चाहिए,કૃપા કરીને મને ટેક્સીની જરૂર છે,1,5
71,my,mon,Mein,mi,मेरा,મારા,1,5
72,need,besoin,brauchen,necesidad,ज़रूरत,જરૂર,1,5
73,Monday,Lundi,Montag,Lunes,सोमवार,સોમવાર,1,5
74,she is my mother,elle est ma mère,sie ist meine Mutter,ella es mi madre,वो मेरी माँ है,તેણી મારી માતા છે,1,5
75,I got hundred marks in exam,J'ai des centaines de notes à l'examen,Ich habe hundert Markierungen in der Prüfung bekommen,Tengo cien marcas en el examen,मुझे परीक्षा में सौ अंक मिले,મને પરીક્ષામાં સો માર્કસ મળ્યા,1,5
